PassengerId,Survived_pred,Survived_prob
892,0,0.13990503564257079
893,1,0.5542069721239213
894,0,0.20352836935322932
895,0,0.14000063074902663
896,0,0.45390662849708063
897,0,0.21655755950515077
898,0,0.4474473975636767
899,0,0.16394487857150397
900,1,0.7613786883614468
901,0,0.12683177552073135
902,0,0.14000063074902663
903,0,0.26823313813714594
904,1,0.7987945207271852
905,0,0.18835270628592307
906,1,0.7643945207271853
907,1,0.8733175871008333
908,0,0.23731749444670225
909,0,0.29840124586103833
910,0,0.484976202893152
911,1,0.7613786883614468
912,0,0.254004173196259
913,0,0.3667913459281861
914,1,0.7707426243721677
915,0,0.33434274046668594
916,1,0.8655341866776336
917,0,0.1651421942537615
918,1,0.7775081695657076
919,0,0.29840124586103833
920,0,0.3534481708101556
921,0,0.11334988856096498
922,0,0.18835270628592307
923,0,0.1650790489969205
924,1,0.5899780570685091
925,0,0.48997805706850917
926,0,0.4531446398930471
927,0,0.2242835988022148
928,0,0.4542069721239213
929,0,0.4542069721239213
930,0,0.14000063074902663
931,0,0.2472759433181711
932,0,0.2765101683468605
933,0,0.3534481708101556
934,0,0.12888951963791553
935,1,0.7593140529435961
936,1,0.7643945207271853
937,0,0.14000063074902663
938,0,0.4340142051104385
939,0,0.17147069220822736
940,1,0.8516748362323743
941,1,0.5507816284970806
942,0,0.4590427585141182
943,0,0.24215258447744442
944,1,0.799700957705501
945,1,0.8161334992829176
946,0,0.2238192511441111
947,0,0.14582548024971909
948,0,0.12888951963791553
949,0,0.14983994305267234
950,0,0.17037095242369613
951,1,0.8266748362323743
952,0,0.12866693450515077
953,0,0.16009038686540125
954,0,0.12866693450515077
955,1,0.6141140642303433
956,1,0.6649882761908613
957,1,0.7593140529435961
958,1,0.5474473975636767
959,0,0.17156647147047924
960,0,0.4340142051104385
961,1,0.6985234363898358
962,1,0.6141140642303433
963,0,0.12866693450515077
964,0,0.484976202893152
965,0,0.4340142051104385
966,1,0.8266748362323743
967,0,0.48456976066599405
968,0,0.14000063074902663
969,1,0.7643945207271853
970,0,0.17372675050176486
971,1,0.6141140642303433
972,1,0.6771822153021063
973,0,0.3963387958101556
974,0,0.26823313813714594
975,0,0.14000063074902663
976,0,0.2350940259188859
977,0,0.11334988856096498
978,1,0.5941140642303433
979,0,0.4542069721239213
980,1,0.5941140642303433
981,0,0.49404764536992285
982,0,0.49099414243242057
983,0,0.14000063074902663
984,1,0.7641234363898358
985,0,0.14000063074902663
986,0,0.3240943380754264
987,0,0.14000063074902663
988,1,0.7987945207271852
989,0,0.14000063074902663
990,0,0.484976202893152
991,0,0.12888951963791553
992,1,0.8571689073786193
993,0,0.1935814644558577
994,0,0.17147069220822736
995,0,0.14000063074902663
996,1,0.7911255411255411
997,0,0.17378975584249956
998,0,0.1958623344556474
999,0,0.17147069220822736
1000,0,0.14000063074902663
1001,0,0.33982528157127434
1002,0,0.19086470568956565
1003,1,0.5941140642303433
1004,1,0.8047051392626774
1005,0,0.4474473975636767
1006,1,0.7987945207271852
1007,0,0.19771159068862454
1008,0,0.08914055383438886
1009,1,0.5902391902012418
1010,1,0.509569760665994
1011,1,0.7510104815150246
1012,1,0.738222093432519
1013,0,0.13426138988264597
1014,1,0.8571689073786193
1015,0,0.14000063074902663
1016,0,0.17147069220822736
1017,1,0.5244948637911983
1018,0,0.12866693450515077
1019,1,0.7445252655465945
1020,0,0.16261563939065377
1021,0,0.14000063074902663
1022,0,0.14000063074902663
1023,0,0.4340142051104385
1024,0,0.35695927175777464
1025,0,0.06845089866197507
1026,0,0.12888951963791553
1027,0,0.14000063074902663
1028,0,0.2590395437333788
1029,0,0.16009038686540125
1030,0,0.4542069721239213
1031,0,0.09828274520698405
1032,0,0.3989828952630157
1033,1,0.8051426243721675
1034,1,0.5022843134868986
1035,0,0.18231260908762342
1036,0,0.2623507851959695
1037,0,0.12534495894409442
1038,0,0.3534481708101556
1039,0,0.12866693450515077
1040,0,0.27346189630708057
1041,0,0.16394487857150397
1042,1,0.8701182324587894
1043,0,0.1465885633412219
1044,0,0.1685609976725649
1045,1,0.5507816284970806
1046,0,0.16654783698902498
1047,0,0.14000063074902663
1048,1,0.7987945207271852
1049,0,0.484976202893152
1050,0,0.3534481708101556
1051,1,0.5507816284970806
1052,1,0.5941140642303433
1053,1,0.6771822153021063
1054,1,0.7593140529435961
1055,0,0.14000063074902663
1056,0,0.16261563939065377
1057,1,0.5899780570685091
1058,0,0.4340142051104385
1059,0,0.10853501647620445
1060,1,0.8675204856515579
1061,0,0.4542069721239213
1062,0,0.14000063074902663
1063,0,0.2590395437333788
1064,0,0.15903725617982026
1065,0,0.1465885633412219
1066,0,0.09828274520698405
1067,1,0.771284342428503
1068,1,0.7330272882377138
1069,0,0.4531446398930471
1070,1,0.7641234363898358
1071,1,0.826403751895025
1072,0,0.17372675050176486
1073,1,0.536829768032353
1074,1,0.7643945207271853
1075,0,0.17147069220822736
1076,1,0.8716386043483162
1077,0,0.14897927575429012
1078,1,0.7588606215710472
1079,0,0.09304265042725843
1080,0,0.158620990501111
1081,0,0.16261563939065377
